LPm3,LPm4,LPm5,LPm6,LPm7,LPm8,LPm9,LPm10,LPm11,LPm12,LPm14,LPm15,LPm16,LPm18,LPm20,LPm22,LPm24,LPm30,Pm3,Pm4,Pm5,Pm6,Pm7,Pm8,Pm9,Pm10,Pm11,Pm12,Pm14,Pm15,Pm16,Pm18,Pm20,Pm22,Pm24,Pm30
2,1,2,5,6,1,5,7,7,5,13,2,1,5,17,7,17,17,1,3,4,1,1,3,7,9,9,7,1,4,3,7,19,9,19,19
1,3,4,1,1,3,7,9,9,7,1,4,3,7,19,9,19,19,2,1,4,5,4,5,8,9,8,5,11,14,13,17,9,19,5,29
2,1,4,5,4,5,8,9,8,5,11,14,13,17,9,19,5,29,1,1,2,1,5,5,7,7,5,1,5,7,5,7,17,5,13,7
1,1,2,1,5,5,7,7,5,1,5,7,5,7,17,5,13,7,2,3,2,5,1,7,8,7,4,11,1,2,15,17,7,15,23,17
2,3,2,5,1,7,8,7,4,11,1,2,15,17,7,15,23,17,2,3,4,5,6,3,2,9,5,11,13,14,11,11,19,5,11,29
2,3,4,5,6,3,2,9,5,11,13,14,11,11,19,5,11,29,2,3,1,5,4,7,5,1,6,11,11,11,7,5,11,17,23,11
2,3,1,5,4,7,5,1,6,11,11,11,7,5,11,17,23,11,1,1,3,1,6,1,7,3,8,1,13,13,9,7,13,19,1,13
1,1,3,1,6,1,7,3,8,1,13,13,9,7,13,19,1,13,1,3,4,1,5,7,4,9,3,7,5,4,15,13,19,3,7,19
1,3,4,1,5,7,4,9,3,7,5,4,15,13,19,3,7,19,2,3,3,5,2,3,8,3,7,11,9,8,3,17,3,7,11,23
2,3,3,5,2,3,8,3,7,11,9,8,3,17,3,7,11,23,1,1,2,1,2,1,4,7,10,1,9,7,1,13,17,21,1,7
1,1,2,1,2,1,4,7,10,1,9,7,1,13,17,21,1,7,2,1,3,5,4,1,2,3,4,5,11,8,1,11,13,15,17,23
2,1,3,5,4,1,2,3,4,5,11,8,1,11,13,15,17,23,1,1,1,1,5,1,1,1,1,1,5,1,9,1,1,1,1,1
1,1,1,1,5,1,1,1,1,1,5,1,9,1,1,1,1,1,1,1,3,1,3,5,4,3,2,1,3,13,5,13,13,13,13,13
1,1,3,1,3,5,4,3,2,1,3,13,5,13,13,13,13,13,1,3,4,1,2,3,1,9,8,7,9,4,11,1,19,19,19,19
1,3,4,1,2,3,1,9,8,7,9,4,11,1,19,19,19,19,2,1,1,5,3,1,5,1,8,5,3,11,1,5,1,19,17,11
2,1,1,5,3,1,5,1,8,5,3,11,1,5,1,19,17,11,1,3,3,1,5,3,7,3,10,7,5,13,3,7,3,21,19,13
1,3,3,1,5,3,7,3,10,7,5,13,3,7,3,21,19,13,2,1,3,5,1,5,8,3,9,5,1,8,13,17,13,9,5,23
2,1,3,5,1,5,8,3,9,5,1,8,13,17,13,9,5,23,1,1,1,1,2,5,7,1,6,1,9,1,5,7,1,17,13,1
1,1,1,1,2,5,7,1,6,1,9,1,5,7,1,17,13,1,1,3,2,1,1,3,4,7,1,7,1,7,11,13,7,1,19,7
1,3,2,1,1,3,4,7,1,7,1,7,11,13,7,1,19,7,2,1,4,5,2,1,8,9,1,5,9,14,1,17,9,1,17,29
2,1,4,5,2,1,8,9,1,5,9,14,1,17,9,1,17,29,1,3,1,1,4,3,1,1,3,7,11,1,3,1,11,3,19,1
1,3,1,1,4,3,1,1,3,7,11,1,3,1,11,3,19,1,2,1,3,5,5,1,5,3,3,5,5,8,9,5,13,3,17,23
2,1,3,5,5,1,5,3,3,5,5,8,9,5,13,3,17,23,2,3,4,5,4,7,2,9,9,11,11,14,15,11,19,9,23,29
2,3,4,5,4,7,2,9,9,11,11,14,15,11,19,9,23,29,1,3,2,1,5,7,1,7,6,7,5,7,7,1,7,17,7,7
1,3,2,1,5,7,1,7,6,7,5,7,7,1,7,17,7,7,2,1,2,5,1,1,2,7,5,5,1,2,1,11,17,5,17,17
2,1,2,5,1,1,2,7,5,5,1,2,1,11,17,5,17,17,2,1,4,5,6,5,5,9,6,5,13,14,13,5,9,17,5,29
2,1,4,5,6,5,5,9,6,5,13,14,13,5,9,17,5,29,2,1,1,5,4,1,8,1,7,5,11,11,9,17,1,7,17,11
2,1,1,5,4,1,8,1,7,5,11,11,9,17,1,7,17,11,1,3,3,1,6,3,1,3,9,7,13,13,11,1,3,9,19,13
1,3,3,1,6,3,1,3,9,7,13,13,11,1,3,9,19,13,2,1,3,5,2,5,2,3,8,5,9,8,5,11,13,19,5,23
2,1,3,5,2,5,2,3,8,5,9,8,5,11,13,19,5,23,2,3,4,5,1,3,8,9,3,11,1,14,11,17,19,3,11,29
2,3,4,5,1,3,8,9,3,11,1,14,11,17,19,3,11,29,2,3,1,5,6,7,2,1,4,11,13,11,7,11,11,15,23,11
2,3,1,5,6,7,2,1,4,11,13,11,7,11,11,15,23,11,1,1,3,1,1,1,4,3,6,1,1,13,9,13,13,17,1,13
1,1,3,1,1,1,4,3,6,1,1,13,9,13,13,17,1,13,2,1,2,5,5,5,8,7,10,5,5,2,13,17,17,21,5,17
2,1,2,5,5,5,8,7,10,5,5,2,13,17,17,21,5,17,1,3,1,1,5,3,4,1,2,7,5,1,11,13,11,13,19,1
1,3,1,1,5,3,4,1,2,7,5,1,11,13,11,13,19,1,2,1,1,5,1,5,5,1,1,5,1,11,5,5,1,1,5,11
2,1,1,5,1,5,5,1,1,5,1,11,5,5,1,1,5,11,1,3,3,1,3,7,7,3,3,7,3,13,7,7,3,3,7,13
1,3,3,1,3,7,7,3,3,7,3,13,7,7,3,3,7,13,1,1,4,1,2,5,4,9,9,1,9,4,13,13,9,9,13,19
1,1,4,1,2,5,4,9,9,1,9,4,13,13,9,9,13,19,1,3,2,1,6,7,4,7,5,7,13,7,15,13,7,5,7,7
1,3,2,1,6,7,4,7,5,7,13,7,15,13,7,5,7,7,2,3,1,5,3,3,8,1,9,11,3,11,3,17,11,9,11,11
2,3,1,5,3,3,8,1,9,11,3,11,3,17,11,9,11,11,2,3,3,5,1,7,2,3,10,11,1,8,15,11,3,21,23,23
2,3,3,5,1,7,2,3,10,11,1,8,15,11,3,21,23,23,1,3,1,1,2,7,1,1,7,7,9,1,7,1,11,7,7,1
1,3,1,1,2,7,1,1,7,7,9,1,7,1,11,7,7,1,1,1,4,1,6,1,1,9,3,1,13,4,9,1,9,3,1,19
1,1,4,1,6,1,1,9,3,1,13,4,9,1,9,3,1,19,1,1,1,1,4,5,4,1,4,1,11,1,5,13,1,15,13,1
1,1,1,1,4,5,4,1,4,1,11,1,5,13,1,15,13,1,1,3,2,1,3,3,1,7,10,7,3,7,11,1,7,21,19,7
1,3,2,1,3,3,1,7,10,7,3,7,11,1,7,21,19,7,1,1,3,1,2,1,7,3,5,1,9,13,1,7,13,5,1,13
1,1,3,1,2,1,7,3,5,1,9,13,1,7,13,5,1,13,2,1,2,5,6,5,2,7,9,5,13,2,5,11,17,9,5,17
2,1,2,5,6,5,2,7,9,5,13,2,5,11,17,9,5,17,2,3,3,5,5,3,8,3,4,11,5,8,11,17,3,15,11,23
2,3,3,5,5,3,8,3,4,11,5,8,11,17,3,15,11,23,2,1,4,5,4,1,5,9,10,5,11,14,1,5,9,21,17,29
2,1,4,5,4,1,5,9,10,5,11,14,1,5,9,21,17,29,1,3,3,1,4,7,1,3,2,7,11,13,15,1,3,13,7,13
1,3,3,1,4,7,1,3,2,7,11,13,15,1,3,13,7,13,2,3,2,5,1,3,5,7,6,11,1,2,3,5,7,17,11,17
2,3,2,5,1,3,5,7,6,11,1,2,3,5,7,17,11,17,1,1,4,1,3,5,7,9,8,1,3,4,5,7,9,19,13,19
1,1,4,1,3,5,7,9,8,1,3,4,5,7,9,19,13,19,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,9,1,1
1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,9,1,1,1,1,3,1,6,5,4,3,10,1,13,13,13,13,13,21,13,13
1,1,3,1,6,5,4,3,10,1,13,13,13,13,13,21,13,13,2,1,2,5,3,1,8,7,3,5,3,2,1,17,17,3,17,17
2,1,2,5,3,1,8,7,3,5,3,2,1,17,17,3,17,17,2,3,3,5,2,7,5,3,9,11,9,8,7,5,3,9,23,23
2,3,3,5,2,7,5,3,9,11,9,8,7,5,3,9,23,23,2,1,1,5,6,1,5,1,5,5,13,11,9,5,1,5,17,11
2,1,1,5,6,1,5,1,5,5,13,11,9,5,1,5,17,11,2,3,4,5,3,3,5,9,1,11,3,14,11,5,19,1,11,29
2,3,4,5,3,3,5,9,1,11,3,14,11,5,19,1,11,29,2,3,1,5,1,7,8,1,2,11,1,11,7,17,11,13,23,11
2,3,1,5,1,7,8,1,2,11,1,11,7,17,11,13,23,11,1,1,3,1,3,1,1,3,4,1,3,13,9,1,13,15,1,13
1,1,3,1,3,1,1,3,4,1,3,13,9,1,13,15,1,13,2,1,4,5,5,1,8,9,9,5,5,14,9,17,9,9,17,29
2,1,4,5,5,1,8,9,9,5,5,14,9,17,9,9,17,29,2,1,1,5,3,5,2,1,10,5,3,11,5,11,1,21,5,11
2,1,1,5,3,5,2,1,10,5,3,11,5,11,1,21,5,11,1,1,4,1,4,5,1,9,7,1,11,4,13,1,9,7,13,19
1,1,4,1,4,5,1,9,7,1,11,4,13,1,9,7,13,19,1,3,2,1,1,7,1,7,3,7,1,7,15,1,7,3,7,7
1,3,2,1,1,7,1,7,3,7,1,7,15,1,7,3,7,7,2,1,2,5,4,1,2,7,2,5,11,2,9,11,17,13,17,17
2,1,2,5,4,1,2,7,2,5,11,2,9,11,17,13,17,17,1,3,3,1,2,3,1,3,6,7,9,13,3,1,3,17,19,13
1,3,3,1,2,3,1,3,6,7,9,13,3,1,3,17,19,13,2,3,2,5,6,7,5,7,10,11,13,2,7,5,7,21,23,17
2,3,2,5,6,7,5,7,10,11,13,2,7,5,7,21,23,17,2,1,3,5,5,5,2,3,5,5,5,8,13,11,13,5,5,23
2,1,3,5,5,5,2,3,5,5,5,8,13,11,13,5,5,23,1,1,1,1,6,5,1,1,2,1,13,1,5,1,1,13,13,1
1,1,1,1,6,5,1,1,2,1,13,1,5,1,1,13,13,1,1,3,2,1,5,3,7,7,8,7,5,7,11,7,7,19,19,7
1,3,2,1,5,3,7,7,8,7,5,7,11,7,7,19,19,7,1,1,3,1,4,1,4,3,3,1,11,13,1,13,13,3,1,13
1,1,3,1,4,1,4,3,3,1,11,13,1,13,13,3,1,13,2,1,2,5,1,5,8,7,7,5,1,2,5,17,17,7,5,17
2,1,2,5,1,5,8,7,7,5,1,2,5,17,17,7,5,17,1,3,4,1,3,7,1,9,9,7,3,4,7,1,19,9,7,19
1,3,4,1,3,7,1,9,9,7,3,4,7,1,19,9,7,19,2,1,4,5,6,1,2,9,8,5,13,14,1,11,9,19,17,29
2,1,4,5,6,1,2,9,8,5,13,14,1,11,9,19,17,29,1,1,4,1,5,5,4,9,6,1,5,4,5,13,9,17,13,19
1,1,4,1,5,5,4,9,6,1,5,4,5,13,9,17,13,19,2,1,3,5,2,1,8,3,10,5,9,8,9,17,13,21,17,23
2,1,3,5,2,1,8,3,10,5,9,8,9,17,13,21,17,23,2,3,4,5,1,7,5,9,5,11,1,14,15,5,19,5,23,29
2,3,4,5,1,7,5,9,5,11,1,14,15,5,19,5,23,29,1,3,2,1,2,7,4,7,2,7,9,7,7,13,7,13,7,7
1,3,2,1,2,7,4,7,2,7,9,7,7,13,7,13,7,7,2,3,1,5,6,3,8,1,6,11,13,11,11,17,11,17,11,11
2,3,1,5,6,3,8,1,6,11,13,11,11,17,11,17,11,11,1,3,1,1,5,7,1,1,4,7,5,1,15,1,11,15,7,1
1,3,1,1,5,7,1,1,4,7,5,1,15,1,11,15,7,1,2,1,1,5,1,1,2,1,3,5,1,11,9,11,1,3,17,11
2,1,1,5,1,1,2,1,3,5,1,11,9,11,1,3,17,11,1,3,3,1,3,3,4,3,5,7,3,13,11,13,3,5,19,13
1,3,3,1,3,3,4,3,5,7,3,13,11,13,3,5,19,13,2,1,2,5,2,5,2,7,6,5,9,2,13,11,17,17,5,17
2,1,2,5,2,5,2,7,6,5,9,2,13,11,17,17,5,17,1,3,4,1,4,7,4,9,8,7,11,4,15,13,19,19,7,19
1,3,4,1,4,7,4,9,8,7,11,4,15,13,19,19,7,19,2,3,3,5,1,3,8,3,1,11,1,8,3,17,3,1,11,23
2,3,3,5,1,3,8,3,1,11,1,8,3,17,3,1,11,23,2,3,2,5,4,3,5,7,3,11,11,2,11,5,7,3,11,17
2,3,2,5,4,3,5,7,3,11,11,2,11,5,7,3,11,17,1,1,4,1,6,5,7,9,5,1,13,4,13,7,9,5,13,19
1,1,4,1,6,5,7,9,5,1,13,4,13,7,9,5,13,19,1,1,1,1,4,1,1,1,6,1,11,1,9,1,1,17,1,1
1,1,1,1,4,1,1,1,6,1,11,1,9,1,1,17,1,1,1,1,3,1,2,5,4,3,7,1,9,13,5,13,13,7,13,13
1,1,3,1,2,5,4,3,7,1,9,13,5,13,13,7,13,13,2,3,3,5,5,7,5,3,6,11,5,8,15,5,3,17,23,23
2,3,3,5,5,7,5,3,6,11,5,8,15,5,3,17,23,23,2,1,4,5,4,5,2,9,1,5,11,14,5,11,9,1,5,29
2,1,4,5,4,5,2,9,1,5,11,14,5,11,9,1,5,29,1,3,1,1,6,7,4,1,3,7,13,1,7,13,11,3,7,1
1,3,1,1,6,7,4,1,3,7,13,1,7,13,11,3,7,1,1,3,3,1,4,3,7,3,4,7,11,13,3,7,3,15,19,13
1,3,3,1,4,3,7,3,4,7,11,13,3,7,3,15,19,13,1,1,3,1,6,1,1,3,1,1,13,13,1,1,13,1,1,13
1,1,3,1,6,1,1,3,1,1,13,13,1,1,13,1,1,13,1,3,4,1,5,7,7,9,7,7,5,4,7,7,19,7,7,19
1,3,4,1,5,7,7,9,7,7,5,4,7,7,19,7,7,19,1,3,1,1,3,3,1,1,8,7,3,1,3,1,11,19,19,1
1,3,1,1,3,3,1,1,8,7,3,1,3,1,11,19,19,1,2,3,2,5,5,3,8,7,2,11,5,2,3,17,7,13,11,17
2,3,2,5,5,3,8,7,2,11,5,2,3,17,7,13,11,17,2,3,4,5,3,7,2,9,3,11,3,14,15,11,19,3,23,29
2,3,4,5,3,7,2,9,3,11,3,14,15,11,19,3,23,29,1,1,1,1,5,1,4,1,5,1,5,1,1,13,1,5,1,1
1,1,1,1,5,1,4,1,5,1,5,1,1,13,1,5,1,1,2,3,3,5,6,7,8,3,5,11,13,8,7,17,3,5,23,23
2,3,3,5,6,7,8,3,5,11,13,8,7,17,3,5,23,23,2,1,1,5,3,1,8,1,1,5,3,11,9,17,1,1,17,11
2,1,1,5,3,1,8,1,1,5,3,11,9,17,1,1,17,11,2,1,3,5,1,5,2,3,2,5,1,8,5,11,13,13,5,23
2,1,3,5,1,5,2,3,2,5,1,8,5,11,13,13,5,23,1,3,2,1,1,3,7,7,5,7,1,7,3,7,7,5,19,7
1,3,2,1,1,3,7,7,5,7,1,7,3,7,7,5,19,7,2,1,2,5,4,5,8,7,4,5,11,2,13,17,17,15,5,17
2,1,2,5,4,5,8,7,4,5,11,2,13,17,17,15,5,17,1,3,4,1,6,7,1,9,6,7,13,4,15,1,19,17,7,19
1,3,4,1,6,7,1,9,6,7,13,4,15,1,19,17,7,19,1,3,1,1,4,3,4,1,7,7,11,1,11,13,11,7,19,1
1,3,1,1,4,3,4,1,7,7,11,1,11,13,11,7,19,1,1,3,3,1,2,7,7,3,8,7,9,13,7,7,3,19,7,13
1,3,3,1,2,7,7,3,8,7,9,13,7,7,3,19,7,13,2,3,2,5,6,3,2,7,1,11,13,2,11,11,7,1,11,17
2,3,2,5,6,3,2,7,1,11,13,2,11,11,7,1,11,17,1,1,4,1,1,5,4,9,3,1,1,4,13,13,9,3,13,19
1,1,4,1,1,5,4,9,3,1,1,4,13,13,9,3,13,19,2,1,3,5,5,1,8,3,7,5,5,8,1,17,13,7,17,23
2,1,3,5,5,1,8,3,7,5,5,8,1,17,13,7,17,23,2,3,4,5,4,7,5,9,2,11,11,14,7,5,19,13,23,29
2,3,4,5,4,7,5,9,2,11,11,14,7,5,19,13,23,29,2,3,1,5,2,3,8,1,3,11,9,11,3,17,11,3,11,11
2,3,1,5,2,3,8,1,3,11,9,11,3,17,11,3,11,11,1,1,3,1,4,5,1,3,5,1,11,13,5,1,13,5,13,13
1,1,3,1,4,5,1,3,5,1,11,13,5,1,13,5,13,13,2,1,4,5,6,5,8,9,10,5,13,14,5,17,9,21,5,29
2,1,4,5,6,5,8,9,10,5,13,14,5,17,9,21,5,29,2,3,2,5,3,7,8,7,6,11,3,2,7,17,7,17,23,17
2,3,2,5,3,7,8,7,6,11,3,2,7,17,7,17,23,17,1,1,4,1,5,1,1,9,8,1,5,4,9,1,9,19,1,19
1,1,4,1,5,1,1,9,8,1,5,4,9,1,9,19,1,19,2,1,4,5,3,1,5,9,4,5,3,14,1,5,9,15,17,29
2,1,4,5,3,1,5,9,4,5,3,14,1,5,9,15,17,29,1,1,2,1,4,1,4,7,1,1,11,7,9,13,17,1,1,7
1,1,2,1,4,1,4,7,1,1,11,7,9,13,17,1,1,7,2,1,3,5,6,1,2,3,6,5,13,8,9,11,13,17,17,23
2,1,3,5,6,1,2,3,6,5,13,8,9,11,13,17,17,23,2,3,4,5,5,7,8,9,1,11,5,14,15,17,19,1,23,29
2,3,4,5,5,7,8,9,1,11,5,14,15,17,19,1,23,29,1,3,2,1,6,7,7,7,9,7,13,7,7,7,7,9,7,7
1,3,2,1,6,7,7,7,9,7,13,7,7,7,7,9,7,7,2,1,2,5,2,1,8,7,8,5,9,2,1,17,17,19,17,17
2,1,2,5,2,1,8,7,8,5,9,2,1,17,17,19,17,17,1,3,4,1,4,3,1,9,10,7,11,4,3,1,19,21,19,19
1,3,4,1,4,3,1,9,10,7,11,4,3,1,19,21,19,19,2,3,3,5,1,7,5,3,3,11,1,8,7,5,3,3,23,23
2,3,3,5,1,7,5,3,3,11,1,8,7,5,3,3,23,23,2,1,1,5,5,1,5,1,10,5,5,11,9,5,1,21,17,11
2,1,1,5,5,1,5,1,10,5,5,11,9,5,1,21,17,11,1,1,4,1,6,1,4,9,7,1,13,4,1,13,9,7,1,19
1,1,4,1,6,1,4,9,7,1,13,4,1,13,9,7,1,19,2,3,4,5,2,3,5,9,6,11,9,14,11,5,19,17,11,29
2,3,4,5,2,3,5,9,6,11,9,14,11,5,19,17,11,29,1,3,2,1,3,3,4,7,3,7,3,7,3,13,7,3,19,7
1,3,2,1,3,3,4,7,3,7,3,7,3,13,7,3,19,7,1,3,4,1,1,7,7,9,4,7,1,4,15,7,19,15,7,19
1,3,4,1,1,7,7,9,4,7,1,4,15,7,19,15,7,19,2,3,3,5,5,3,2,3,8,11,5,8,3,11,3,19,11,23
2,3,3,5,5,3,2,3,8,11,5,8,3,11,3,19,11,23,2,1,1,5,2,5,2,1,4,5,9,11,5,11,1,15,5,11
2,1,1,5,2,5,2,1,4,5,9,11,5,11,1,15,5,11,1,3,3,1,4,7,4,3,6,7,11,13,7,13,3,17,7,13
1,3,3,1,4,7,4,3,6,7,11,13,7,13,3,17,7,13,1,1,1,1,1,1,4,1,2,1,1,1,9,13,1,13,1,1
1,1,1,1,1,1,4,1,2,1,1,1,9,13,1,13,1,1,2,3,1,5,4,3,5,1,1,11,11,11,3,5,11,1,11,11
2,3,1,5,4,3,5,1,1,11,11,11,3,5,11,1,11,11,1,1,3,1,6,5,7,3,3,1,13,13,5,7,13,3,13,13
1,1,3,1,6,5,7,3,3,1,13,13,5,7,13,3,13,13,2,1,2,5,3,1,2,7,7,5,3,2,9,11,17,7,17,17
2,1,2,5,3,1,2,7,7,5,3,2,9,11,17,7,17,17,1,3,4,1,5,3,4,9,9,7,5,4,11,13,19,9,19,19
1,3,4,1,5,3,4,9,9,7,5,4,11,13,19,9,19,19,2,3,3,5,2,7,8,3,2,11,9,8,15,17,3,13,23,23
2,3,3,5,2,7,8,3,2,11,9,8,15,17,3,13,23,23,1,3,1,1,3,7,7,1,10,7,3,1,7,7,11,21,7,1
1,3,1,1,3,7,7,1,10,7,3,1,7,7,11,21,7,1,2,3,4,5,3,3,8,9,5,11,3,14,3,17,19,5,11,29
2,3,4,5,3,3,8,9,5,11,3,14,3,17,19,5,11,29,1,1,1,1,5,5,1,1,7,1,5,1,5,1,1,7,13,1
1,1,1,1,5,5,1,1,7,1,5,1,5,1,1,7,13,1,1,3,2,1,4,3,7,7,2,7,11,7,11,7,7,13,19,7
1,3,2,1,4,3,7,7,2,7,11,7,11,7,7,13,19,7,2,1,4,5,5,1,2,9,2,5,5,14,1,11,9,13,17,29
2,1,4,5,5,1,2,9,2,5,5,14,1,11,9,13,17,29,2,1,1,5,3,5,5,1,3,5,3,11,13,5,1,3,5,11
2,1,1,5,3,5,5,1,3,5,3,11,13,5,1,3,5,11,2,3,2,5,2,3,2,7,9,11,9,2,3,11,7,9,11,17
2,3,2,5,2,3,2,7,9,11,9,2,3,11,7,9,11,17,1,1,1,1,2,1,7,1,1,1,9,1,1,7,1,1,1,1
1,1,1,1,2,1,7,1,1,1,9,1,1,7,1,1,1,1,1,3,4,1,6,3,7,9,8,7,13,4,3,7,19,19,19,19
1,3,4,1,6,3,7,9,8,7,13,4,3,7,19,19,19,19,2,3,3,5,3,7,2,3,1,11,3,8,7,11,3,1,23,23
2,3,3,5,3,7,2,3,1,11,3,8,7,11,3,1,23,23,2,1,4,5,2,5,8,9,7,5,9,14,13,17,9,7,5,29
2,1,4,5,2,5,8,9,7,5,9,14,13,17,9,7,5,29,1,1,2,1,3,5,7,7,4,1,3,7,5,7,17,15,13,7
1,1,2,1,3,5,7,7,4,1,3,7,5,7,17,15,13,7,1,3,3,1,2,3,4,3,10,7,9,13,11,13,3,21,19,13
1,3,3,1,2,3,4,3,10,7,9,13,11,13,3,21,19,13,1,1,4,1,1,1,1,9,5,1,1,4,1,1,9,5,1,19
1,1,4,1,1,1,1,9,5,1,1,4,1,1,9,5,1,19,2,3,4,5,4,3,2,9,4,11,11,14,11,11,19,15,11,29
2,3,4,5,4,3,2,9,4,11,11,14,11,11,19,15,11,29,1,3,2,1,5,3,1,7,1,7,5,7,3,1,7,1,19,7
1,3,2,1,5,3,1,7,1,7,5,7,3,1,7,1,19,7,2,3,1,5,2,7,5,1,5,11,9,11,7,5,11,5,23,11
2,3,1,5,2,7,5,1,5,11,9,11,7,5,11,5,23,11,1,1,3,1,4,1,7,3,7,1,11,13,9,7,13,7,1,13
1,1,3,1,4,1,7,3,7,1,11,13,9,7,13,7,1,13,1,3,1,1,1,3,7,1,3,7,1,1,11,7,11,3,19,1
1,3,1,1,1,3,7,1,3,7,1,1,11,7,11,3,19,1,2,1,1,5,4,5,8,1,2,5,11,11,5,17,1,13,5,11
2,1,1,5,4,5,8,1,2,5,11,11,5,17,1,13,5,11,2,3,2,5,3,3,5,7,8,11,3,2,11,5,7,19,11,17
2,3,2,5,3,3,5,7,8,11,3,2,11,5,7,19,11,17,1,3,2,1,2,7,7,7,6,7,9,7,15,7,7,17,7,7
1,3,2,1,2,7,7,7,6,7,9,7,15,7,7,17,7,7,2,1,4,5,3,5,2,9,6,5,3,14,5,11,9,17,5,29
2,1,4,5,3,5,2,9,6,5,3,14,5,11,9,17,5,29,1,1,2,1,4,5,1,7,3,1,11,7,13,1,17,3,13,7
1,1,2,1,4,5,1,7,3,1,11,7,13,1,17,3,13,7,1,3,3,1,3,3,7,3,9,7,3,13,3,7,3,9,19,13
1,3,3,1,3,3,7,3,9,7,3,13,3,7,3,9,19,13,1,1,3,1,5,1,1,3,6,1,5,13,1,1,13,17,1,13
1,1,3,1,5,1,1,3,6,1,5,13,1,1,13,17,1,13,2,1,2,5,2,5,5,7,10,5,9,2,5,5,17,21,5,17
2,1,2,5,2,5,5,7,10,5,9,2,5,5,17,21,5,17,1,3,4,1,4,7,7,9,1,7,11,4,7,7,19,1,7,19
1,3,4,1,4,7,7,9,1,7,11,4,7,7,19,1,7,19,2,3,3,5,1,3,2,3,5,11,1,8,11,11,3,5,11,23
2,3,3,5,1,3,2,3,5,11,1,8,11,11,3,5,11,23,2,1,1,5,5,5,2,1,1,5,5,11,13,11,1,1,5,11
2,1,1,5,5,5,2,1,1,5,5,11,13,11,1,1,5,11,2,3,2,5,4,3,8,7,7,11,11,2,3,17,7,7,11,17
2,3,2,5,4,3,8,7,7,11,11,2,3,17,7,7,11,17,2,1,2,5,6,1,2,7,4,5,13,2,1,11,17,15,17,17
2,1,2,5,6,1,2,7,4,5,13,2,1,11,17,15,17,17,1,3,4,1,1,3,4,9,6,7,1,4,3,13,19,17,19,19
1,3,4,1,1,3,4,9,6,7,1,4,3,13,19,17,19,19,2,3,3,5,5,7,8,3,10,11,5,8,7,17,3,21,23,23
2,3,3,5,5,7,8,3,10,11,5,8,7,17,3,21,23,23,1,3,1,1,6,7,7,1,7,7,13,1,15,7,11,7,7,1
1,3,1,1,6,7,7,1,7,7,13,1,15,7,11,7,7,1,1,1,2,1,5,5,4,7,2,1,5,7,5,13,17,13,13,7
1,1,2,1,5,5,4,7,2,1,5,7,5,13,17,13,13,7,2,1,1,5,2,1,8,1,6,5,9,11,9,17,1,17,17,11
2,1,1,5,2,1,8,1,6,5,9,11,9,17,1,17,17,11,2,3,2,5,1,7,5,7,1,11,1,2,15,5,7,1,23,17
2,3,2,5,1,7,5,7,1,11,1,2,15,5,7,1,23,17,2,3,4,5,6,3,8,9,2,11,13,14,11,17,19,13,11,29
2,3,4,5,6,3,8,9,2,11,13,14,11,17,19,13,11,29,1,1,3,1,6,1,4,3,5,1,13,13,9,13,13,5,1,13
1,1,3,1,6,1,4,3,5,1,13,13,9,13,13,5,1,13,2,3,2,5,5,3,2,7,6,11,5,2,11,11,7,17,11,17
2,3,2,5,5,3,2,7,6,11,5,2,11,11,7,17,11,17,1,1,1,1,5,1,7,1,9,1,5,1,9,7,1,9,1,1
1,1,1,1,5,1,7,1,9,1,5,1,9,7,1,9,1,1,1,3,2,1,4,7,4,7,4,7,11,7,15,13,7,15,7,7
1,3,2,1,4,7,4,7,4,7,11,7,15,13,7,15,7,7,2,3,1,5,1,3,8,1,8,11,1,11,3,17,11,19,11,11
2,3,1,5,1,3,8,1,8,11,1,11,3,17,11,19,11,11,1,1,3,1,3,5,1,3,10,1,3,13,5,1,13,21,13,13
1,1,3,1,3,5,1,3,10,1,3,13,5,1,13,21,13,13,1,3,4,1,2,3,7,9,5,7,9,4,11,7,19,5,19,19
1,3,4,1,2,3,7,9,5,7,9,4,11,7,19,5,19,19,2,3,3,5,6,7,2,3,9,11,13,8,15,11,3,9,23,23
2,3,3,5,6,7,2,3,9,11,13,8,15,11,3,9,23,23,1,1,2,1,6,5,7,7,1,1,13,7,13,7,17,1,13,7
1,1,2,1,6,5,7,7,1,1,13,7,13,7,17,1,13,7,2,1,1,5,3,1,2,1,5,5,3,11,1,11,1,5,17,11
2,1,1,5,3,1,2,1,5,5,3,11,1,11,1,5,17,11,1,3,3,1,5,3,4,3,7,7,5,13,3,13,3,7,19,13
1,3,3,1,5,3,4,3,7,7,5,13,3,13,3,7,19,13,1,1,4,1,4,1,1,9,2,1,11,4,9,1,9,13,1,19
1,1,4,1,4,1,1,9,2,1,11,4,9,1,9,13,1,19,2,1,2,5,4,5,2,7,8,5,11,2,5,11,17,19,5,17
2,1,2,5,4,5,2,7,8,5,11,2,5,11,17,19,5,17,1,3,4,1,6,7,4,9,10,7,13,4,7,13,19,21,7,19
1,3,4,1,6,7,4,9,10,7,13,4,7,13,19,21,7,19,2,3,3,5,3,3,8,3,3,11,3,8,11,17,3,3,11,23
